gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
CYR61,0.7504595016652617,0.7094317,3.8096577e-26,7.553408280624973e-22
S100A11,0.7211135832838131,0.4832105,3.7161275e-25,3.68398299251127e-21
C8orf4,0.7172786445737345,0.61360526,5.518228e-23,3.6469967619528974e-19
DUSP1,0.7008056826190904,0.52247685,1.4388134e-16,3.5659192650498616e-13
CD44,0.699741573499537,0.538176,1.03501616e-16,2.931609344546443e-13
SOD2,0.6995619187131189,0.5960451,4.2500116e-17,1.4044163450005734e-13
MYC,0.694462486698636,0.5181047,4.6909295e-21,2.3251765001268696e-17
FOSB,0.6938406047456502,0.44290745,7.0474597e-16,1.3972998356991652e-12
VIM,0.6911181437514683,0.34960687,8.2054275e-15,1.25145393743862e-11
JUNB,0.6887826315280331,0.4446342,1.3263877e-14,1.6436430533306105e-11
JUN,0.687531957822584,0.40177727,1.3022094e-14,1.6436430533306105e-11
EGR1,0.6846436616409391,0.3330052,6.2389804e-14,6.185013234604191e-11
MT2A,0.6831995135501168,0.4539646,9.104663e-14,8.205370568517251e-11
ANXA1,0.6790536338635452,0.462501,3.2545022e-14,3.396158666694478e-11
SPP1,0.6774781995826481,0.74199337,2.6732993e-15,4.416958763876982e-12
CHI3L1,0.6745208054062272,0.81978536,6.3551564e-16,1.3972998356991652e-12
KLF6,0.6730628377164495,0.433168,9.6607414e-14,8.327979157911137e-11
IER2,0.6730006495211509,0.4154783,7.963703e-13,4.784737520520057e-10
CAV1,0.6718259836099556,0.566272,1.2669327e-20,5.023894876015299e-17
SQSTM1,0.6704993021102528,0.37892365,2.5477335e-12,1.3367976488820142e-09
ANXA2,0.6687925816392808,0.4966445,2.9379963e-13,2.1574685830359706e-10
PKM2,0.6680048644988322,0.30549407,7.1861904e-12,3.0974043032364093e-09
S100A10,0.6674935393374885,0.3798759,2.5620775e-12,1.3367976488820142e-09
PPP1R15A,0.6656624424759193,0.37509868,1.3160545e-12,7.67453293585333e-10
ATF3,0.6635134948383797,0.43590787,7.168769e-13,4.5850060037403143e-10
SAT1,0.6620831663465127,0.43727797,2.2337989e-11,8.20176499690776e-09
CEBPD,0.6567349815508354,0.30959743,1.2066387e-10,3.417717866573331e-08
DUSP6,0.655636323433894,0.44489664,8.60702e-12,3.5552370380347374e-09
BRD2,0.6556155940354611,0.26990733,7.646709e-11,2.2971408872623045e-08
DPYD,0.655145727670983,0.2703518,1.8229744e-13,1.39015822079982e-10
RND3,0.6548969748897887,0.30675656,2.3687692e-12,1.3045996607227023e-09
LGALS3,0.654800237697102,0.39676222,3.0372647e-12,1.5054961639154612e-09
OSMR,0.6540816185514297,0.3116845,1.3070899e-13,1.0366268421294673e-10
TIMP1,0.653639391384862,0.38547695,1.8731913e-10,5.018887079244172e-08
FLNA,0.6526443802600849,0.37568933,6.730149e-11,2.1495646641635424e-08
IGFBP2,0.6519810395102335,0.38781977,1.9522829e-10,5.161055123770186e-08
CLIC1,0.6518843023175468,0.36739585,6.32875e-11,2.057051257814686e-08
PNRC1,0.6513315183593372,0.30297637,2.9549305e-10,7.608754073873547e-08
SERPINE1,0.6507027266068739,0.40488073,1.6221401e-15,2.9238337818154487e-12
EMP1,0.6499080996669476,0.28144896,5.023023e-10,1.2129375599695202e-07
IFITM3,0.6497768134768729,0.34286487,3.6963296e-10,9.276851594819672e-08
NAMPT,0.6495626096930667,0.35842484,5.077612e-10,1.2129375599695202e-07
FBXO32,0.6489614571385138,0.34419596,3.760703e-13,2.543062724513984e-10
LGALS1,0.6487472533547076,0.2974164,1.0682675e-09,2.353393246279367e-07
ZYX,0.6481391910006772,0.3499874,2.771613e-10,7.230627597980777e-08
TNFRSF12A,0.6464255607302276,0.32290703,1.7187919e-10,4.714248482338237e-08
ZFP36,0.6462873647406753,0.34833634,1.6269767e-09,3.162555522266441e-07
NRP1,0.6451265184284352,0.31871444,3.190993e-13,2.2595648895826773e-10
SDC2,0.6447050206603004,0.26503378,1.0146792e-14,1.4370032249573728e-11
SHC1,0.6445530050717928,0.32610446,4.0748782e-10,1.009907629023754e-07
HLA-B,0.6428186454029104,0.2988239,3.5397614e-09,6.102856412226743e-07
NFKBIA,0.6424178770332085,0.3345313,2.1014563e-09,3.822529807180199e-07
PDPN,0.6413261287157447,0.3167913,1.1703772e-09,2.4951687665493305e-07
NES,0.6406075095700723,0.25425568,2.4621896e-09,4.3587350421838066e-07
FAM20C,0.6405176821768632,0.29314262,3.0295953e-11,1.0726390446617092e-08
RPL8,0.6383963737372341,0.2620564,1.32537785e-08,1.8505821598504839e-06
SPOCD1,0.6381752601539503,0.3480565,1.6426388e-14,1.915799966751611e-11
IGFBP7,0.6381338013570846,0.35335803,3.6486973e-09,6.236441572815172e-07
MCL1,0.637636295794696,0.31520995,5.673279e-09,8.857016243888472e-07
PLP2,0.6374566410082779,0.2687276,8.154787e-10,1.8800576603667607e-07
SOCS3,0.6370351432401432,0.31060642,6.83021e-11,2.1495646641635424e-08
GLUL,0.6366896532662623,0.3185929,1.711009e-08,2.307766948641362e-06
SSR3,0.6348861956026036,0.25805822,7.0870656e-09,1.0808865359372806e-06
COL1A2,0.6348101878083497,0.4373842,1.1200082e-13,9.252667909807822e-11
NFKBIZ,0.6341813960558864,0.33335635,1.7357146e-10,4.714248482338237e-08
NEDD9,0.6322466522021531,0.31066948,3.7437062e-09,6.344142179456251e-07
EPAS1,0.6317007780434212,0.32734323,8.522005e-11,2.521877605251262e-08
WWTR1,0.6313483782700626,0.3040526,1.0394216e-08,1.4933777079299042e-06
CHPF,0.6309890686972264,0.29691187,4.6952136e-09,7.447359926509022e-07
SRPX,0.6309476099003607,0.35606778,4.3100377e-11,1.4733641092728246e-08
HLA-A,0.6306159395254349,0.28172684,5.899049e-08,6.570811569637086e-06
CALU,0.629690026395434,0.27191764,6.038786e-08,6.688883443285201e-06
ZDHHC9,0.6296071088017026,0.2791469,1.6594985e-09,3.194454128597509e-07
NNMT,0.6288332112602092,0.3910196,1.6164316e-11,6.163267336994157e-09
WEE1,0.6282389685051339,0.2536373,4.2816644e-09,6.901834080837809e-07
TPM3,0.6281284117134921,0.27463347,6.388343e-08,6.959432407591328e-06
ACTN1,0.6272854161772226,0.31976134,1.3686522e-08,1.8976410799095591e-06
SGK1,0.626822459612222,0.32478726,2.706797e-08,3.4402347776672463e-06
SLC2A1,0.6266082558284158,0.30210233,1.056587e-09,2.353393246279367e-07
CDKN2A,0.6265253382346845,0.3294079,6.851164e-08,7.3825014512020406e-06
GFPT2,0.6261936678597587,0.28215468,8.9910836e-11,2.6215619703554998e-08
TMSB10,0.6260969306670721,0.31897938,2.0063868e-07,1.8082105108357443e-05
FLOT1,0.6257998092895344,0.26772916,5.5072224e-08,6.311658887374989e-06
MCM7,0.6245076767872196,0.26460314,3.584888e-08,4.442348546818131e-06
DNAJB1,0.6239272536310996,0.2906981,2.3968644e-07,2.0572567567480833e-05
LMNA,0.6227664073188596,0.28976262,2.576062e-07,2.1550877239791634e-05
EZH2,0.6193944251737814,0.25704065,2.5300382e-09,4.4392094667479146e-07
GADD45A,0.61684470916654,0.27158958,7.364985e-07,5.2716809287484786e-05
ITGA7,0.6164577603957934,0.25746995,3.4803202e-07,2.782431778039227e-05
CA12,0.6141706167687013,0.28995615,5.5564307e-08,6.325458398350748e-06
SMYD2,0.6104531446497423,0.2978481,3.8215004e-09,6.418626282914982e-07
TPM4,0.6078550600461574,0.2672925,3.0740155e-06,0.00015955105933370526
VEGFA,0.6067840411271265,0.25440517,3.068678e-07,2.483374673887534e-05
NT5E,0.6067494921297384,0.27138948,1.39914835e-08,1.9264523881679096e-06
HSPA5,0.604199776122497,0.26822132,1.1481021e-05,0.0004355949654823884
VOPP1,0.603653901963765,0.25115162,8.870706e-06,0.0003589377158463396
ADIPOR1,0.6033153217893616,0.25555098,1.4467367e-06,8.825984452589462e-05
TRIB1,0.6025759732452565,0.3064344,1.0189254e-07,1.0151876220067867e-05
CCL2,0.6020784676828679,0.26740873,7.830649e-08,8.1287058431372e-06
GEM,0.5982366191733116,0.2791913,6.5086615e-06,0.00029064691790842297
GBP1,0.5968062906814444,0.2530306,2.8808336e-06,0.0001515073927052752
TAGLN,0.595217036801592,0.30260283,3.852406e-09,6.418626282914982e-07
FN1,0.5883417863213609,0.30134147,1.2128686e-05,0.0004486482316288762
CTGF,0.5851770981606114,0.28290778,2.1125055e-07,1.8533029558018793e-05
LTF,0.5533989303630409,0.29534763,2.6332209e-05,0.0008081868547896793
